Trade,Date,Currency,Security Name,Ticker,Price,Amount,Market Value,Transaction Fees,Cashflow,Holdings,Previous Average Price,Average Price,Trade PnL
Buy,2022-05-05,CAD,Nomad Royalty Company,NSR,10.58,265,2803.7,0,-2803.7,265,0,10.58,0
Buy,2022-05-05,USD,Electronic Arts,EA,121.57,16,1945.12,0,-1945.12,16,0,121.57,0
Buy,2022-05-05,USD,Intuitive Surgical,ISRG,238.04,8,1904.32,0,-1904.32,8,0,238.04,0
Buy,2022-05-05,USD,Mastercard,MA,358.41,5,1792.05,0,-1792.05,5,0,358.41,0
Buy,2022-05-05,USD,Terex,TEX,34.66,56,1940.96,0,-1940.96,56,0,34.66,0
Buy,2022-05-09,CAD,Ishares Core US Aggregate Bond ETF,AGG,132.4107055,226,29924.81944,0,-29924.81944,226,0,132.41,0
Buy,2022-05-09,CAD,Invesco S&P500 Equal Weight ETF,RSP,192.16246,290,55727.1134,0,-55727.1134,290,0,192.16,0
Sell,2022-05-09,CAD,Nomad Royalty Company,NSR,10.35,-265,-2742.75,0,2742.75,0,10.58,10.58,-60.95
Sell,2023-04-27,CAD,Ishares Core US Aggregate Bond ETF,AGG,134.343975,-226,-30361.73835,0,30361.73835,155,132.41,132.41,436.92
Buy,2023-04-27,USD,Ishares Core US Aggregate Bond ETF,AGG,97.82864,155,15163.4392,0,-15163.4392,155,132.41,97.83,0
Sell,2023-04-27,CAD,Invesco S&P500 Equal Weight ETF,RSP,192.3006993,-290,-55767.2028,0,55767.2028,0,192.16,192.16,40.09
Buy,2023-04-27,CAD,Hudbay Minerals,HBM,6.68,225,1503,0,-1503,225,0,6.68,0
Buy,2023-04-27,CAD,ISHARES S&P/TSX 60 INDEX ETF,XIU.TO,31.26,630,19693.8,0,-19693.8,630,0,31.26,0
Buy,2023-04-27,CAD,ISHARES CANADIAN UNIVERSE BOND INDEX ETF,XBB,28.14504723,741,20855.48,0,-20855.48,741,0,28.15,0
Buy,2023-04-27,CAD,Loblaws,L,126,20,2520,0,-2520,20,0,126,0
Buy,2023-04-27,CAD,SPDR S&P 500 ETF TRUST ,SPY,406.81,35,14238.35,0,-14238.35,35,0,406.81,0
Buy,2023-04-27,USD,Apollo Global Management,APO,62.36,30,1870.8,0,-1870.8,30,0,62.36,0
Buy,2023-04-27,USD,Apple,AAPL,165.39,4,661.56,0,-661.56,4,0,165.39,0
Buy,2023-04-27,USD,Constellation Energy,CEG,76.42,25,1910.5,0,-1910.5,25,0,76.42,0
Buy,2023-12-27,USD,Amerisafe,AMSF,47.2,45,2124,0,-2124,45,0,47.2,0
Buy,2023-12-27,USD,Veeva Systems Inc,VEEV,189.04,5,945.2,0,-945.2,5,0,189.04,0
Sell,2023-12-27,USD,SPDR S&P 500 ETF TRUST ,SPY,475.16,-10,-4751.6,0,4751.6,25,406.81,406.81,683.5
Buy,2023-12-27,USD,Global Ship Lease Inc,GSL,20.29,101,2049.29,0,-2049.29,101,0,20.29,0
Sell,2023-12-27,USD,Ishares Core US Aggregate Bond ETF,AGG,98.97,-59,-5839.23,0,5839.23,96,97.83,97.83,67.34
Buy,2023-12-27,USD,SPDR Portfolio Short Term Corporate Bond ETF,SPSB,29.73,320,9513.6,0,-9513.6,320,0,29.73,0
Buy,2023-12-28,CAD,West Fraser Timber Co. Ltd.,WFG,112.4,23,2585.2,0,-2585.2,23,0,112.4,0
Sell,2023-12-28,CAD,ISHARES S&P/TSX 60 INDEX ETF,XIU.TO,31.9,-111,-3540.9,0,3540.9,519,31.26,31.26,71.04
Buy,2023-12-28,CAD,Chartwell Retirement Residences,CSH-UN.TO,11.6,107,1241.2,0,-1241.2,107,0,11.6,0
Sell,2024-12-23,CAD,ISHARES CANADIAN UNIVERSE BOND INDEX ETF,XBB,28.36,-557,-15796.52,0,15796.52,184,28.15,28.15,119.73
Sell,2024-12-23,CAD,ISHARES S&P/TSX 60 INDEX ETF,XIU.TO,37.43,-519,-19426.17,0,19426.17,0,31.26,31.26,3202.23
Buy,2024-12-23,CAD,ATCO,ACO-X.TO,47.2218,122,5761.0596,0,-5761.0596,122,0,47.22,0
Buy,2024-12-23,USD,CARLYLE GROUP INC,CG,50.37,51,2568.87,0,-2568.87,51,0,50.37,0
Buy,2024-12-23,USD,WILLSCOT HOLDINGS CORPORATION,WSC,33.593,60,2015.58,0,-2015.58,60,0,33.59,0
Buy,2024-12-23,USD,AERCAP HOLDINGS,AER,95.047,21,1995.987,0,-1995.987,21,0,95.05,0
Buy,2024-12-23,USD,BLUE BIRD CORPORATION,BLBD,39.583,61,2414.563,0,-2414.563,61,0,39.58,0
Buy,2024-12-23,USD,T MOBILE,TMUS,220.5199,4,882.0796,0,-882.0796,4,0,220.52,0
Buy,2024-12-23,USD,MP MATERIALS,MP,15.87404286,245,3889.1405,0,-3889.1405,245,0,15.87,0
Buy,2024-12-23,USD,DOLE PLC ,DOLE,13.8094,108,1491.4152,0,-1491.4152,108,0,13.81,0
Buy,2024-12-23,USD,APPLIED MATERIALS INC,AMAT,164.0499,19,3116.9481,0,-3116.9481,19,0,164.05,0